customer_id,total_revenue,average_order_value,transaction_count,first_purchase_date,last_purchase_date,customer_since,last_interaction,customer_tenure_months,days_since_last_purchase,days_since_last_interaction,customer_name,industry,company_size,support_tickets,satisfaction_score,churn_status
CUST0001,1234008.4100000001,77125.52562500001,16,2022-01-07,2025-06-12,2023-08-06,2024-09-01,24,54,338,"Bhandari, Kari and Sama",Manufacturing,Enterprise,3,7,0
CUST0002,1545831.4,128819.28333333333,12,2022-01-06,2025-06-29,2022-10-20,2024-08-25,34,37,345,"Saxena, Barman and Sandhu",Education,Small,28,4,1
CUST0003,1862004.54,310334.09,6,2022-08-26,2025-04-13,2020-04-29,2025-06-30,64,114,36,Deo-Vala,Tech,Enterprise,1,8,0
CUST0004,1051735.56,87644.63,12,2022-07-19,2024-03-18,2020-07-02,2025-06-30,62,505,36,"Sharma, Viswanathan and Sibal",Finance,Small,1,8,0
CUST0005,1795474.77,224434.34625,8,2022-06-23,2025-05-24,2024-07-11,2025-06-30,13,73,36,"Nayar, Bajwa and Deshpande",Healthcare,Small,1,8,0
CUST0006,739413.33,123235.555,6,2022-04-06,2025-04-27,2019-11-17,2025-06-30,69,100,36,Krish Group,Finance,Small,1,8,0
CUST0007,1353940.09,193420.01285714286,7,2022-02-09,2024-12-22,2024-09-03,2025-06-30,11,226,36,Bahl-Bail,Retail,Mid-Market,1,8,0
CUST0008,2110032.79,211003.279,10,2022-05-23,2025-04-01,2022-04-18,2025-06-30,40,126,36,Mani-Prabhakar,Tech,Enterprise,1,8,0
CUST0009,1990600.01,153123.0776923077,13,2022-01-31,2025-02-21,2019-05-13,2025-06-30,75,165,36,Misra-Srinivasan,Retail,Enterprise,1,8,0
CUST0010,562216.15,70277.01875,8,2022-03-07,2025-06-13,2020-09-28,2025-06-30,59,53,36,Kulkarni LLC,Retail,Small,1,8,0
CUST0011,3385941.56,241852.9685714286,14,2022-03-11,2025-04-12,2024-11-18,2025-01-12,8,115,205,Andra Inc,Education,Mid-Market,50,4,1
CUST0012,2111251.2600000002,263906.40750000003,8,2022-04-21,2025-04-21,2022-11-06,2025-06-30,33,106,36,"Nagy, Minhas and Rama",Healthcare,Small,1,8,0
CUST0013,2322819.4899999998,165915.67785714284,14,2022-01-15,2025-06-28,2024-01-27,2024-12-29,18,38,219,"Badami, Baria and Bhatti",Tech,Small,23,4,1
CUST0014,1027296.5800000001,171216.09666666668,6,2022-10-15,2025-07-03,2021-09-17,2025-06-30,47,33,36,"Sachar, Edwin and Brar",Finance,Small,1,8,0
CUST0015,2106698.7,263337.3375,8,2022-08-21,2025-05-15,2023-07-21,2025-06-30,24,82,36,Lal-Kannan,Non-Profit,Mid-Market,1,8,0
CUST0016,1384549.37,115379.11416666668,12,2023-01-31,2025-07-09,2025-06-26,2025-07-15,1,27,21,"Vyas, Uppal and Shah",Healthcare,Mid-Market,40,5,0
CUST0017,400321.39,57188.770000000004,7,2022-11-17,2025-05-01,2021-05-10,2025-06-30,51,96,36,Gara Inc,Government,Mid-Market,1,8,0
CUST0018,2664410.96,242219.1781818182,11,2022-01-02,2025-06-29,2024-12-16,2025-06-30,7,37,36,Mutti-Subramanian,Education,Small,1,8,0
CUST0019,1222815.03,101901.2525,12,2022-08-30,2025-03-25,2023-01-21,2025-06-30,30,133,36,Ahluwalia-Andra,Non-Profit,Mid-Market,1,8,0
CUST0020,1838693.14,141437.93384615384,13,2022-08-08,2025-07-14,2021-01-06,2025-06-30,55,22,36,Tak LLC,Government,Small,1,8,0
CUST0021,1095676.1199999999,109567.612,10,2022-01-25,2024-12-06,2022-01-09,2025-04-23,43,242,104,Doshi LLC,Non-Profit,Small,3,6,0
CUST0022,244111.64,48822.328,5,2022-03-05,2025-03-25,2019-08-21,2025-06-30,72,133,36,"Butala, Dugal and Kala",Non-Profit,Enterprise,1,8,0
CUST0023,830401.14,103800.1425,8,2022-01-24,2025-07-19,2022-01-03,2025-06-30,43,17,36,Bhandari Group,Manufacturing,Mid-Market,1,8,0
CUST0024,1399829.4300000002,233304.90500000003,6,2023-02-12,2025-04-14,2022-03-26,2025-06-30,40,113,36,Babu-Bala,Non-Profit,Mid-Market,1,8,0
CUST0025,1577174.53,157717.453,10,2022-04-04,2025-07-07,2021-09-06,2024-04-05,47,29,487,Rege Group,Non-Profit,Mid-Market,8,7,0
CUST0026,812786.16,81278.61600000001,10,2022-02-07,2025-01-26,2020-09-23,2025-06-30,59,191,36,Iyer Inc,Tech,Small,1,8,0
CUST0027,979441.73,89040.15727272727,11,2022-06-11,2024-05-27,2019-03-27,2025-06-30,77,435,36,Modi-Bhat,Non-Profit,Mid-Market,1,8,0
CUST0028,857178.03,142863.005,6,2022-10-23,2025-01-13,2020-12-06,2024-07-21,56,204,380,"Kohli, Varghese and Banerjee",Non-Profit,Enterprise,31,1,1
CUST0029,1576820.56,175202.28444444446,9,2022-08-07,2025-07-11,2022-07-15,2025-06-30,37,25,36,"Chaudhuri, Oommen and Mangat",Healthcare,Enterprise,1,8,0
CUST0030,2406316.2800000003,267368.4755555556,9,2022-05-08,2025-07-07,2021-12-16,2025-06-30,44,29,36,"Chanda, Master and Dani",Tech,Enterprise,1,8,0
CUST0031,1442829.19,90176.824375,16,2022-02-06,2025-05-28,2019-07-05,2025-06-30,74,69,36,"Das, Issac and Cheema",Retail,Mid-Market,1,8,0
CUST0032,1924938.45,174994.40454545454,11,2022-01-08,2025-07-03,2021-11-25,2025-06-30,44,33,36,Aggarwal Group,Tech,Enterprise,1,8,0
CUST0033,505799.11,56199.90111111111,9,2022-03-11,2025-02-21,2025-02-21,2025-06-30,5,165,36,Rao-Sekhon,Education,Enterprise,1,8,0
CUST0034,1977570.37,141255.02642857144,14,2022-02-07,2025-03-21,2021-04-29,2024-11-29,51,137,249,Puri-Warrior,Retail,Small,23,2,0
CUST0035,5802437.17,483536.43083333335,12,2022-06-21,2025-05-10,2021-01-01,2024-09-19,55,87,320,"Parmer, Chakraborty and Om",Tech,Small,11,4,0
CUST0036,968483.57,121060.44625,8,2022-01-25,2025-03-17,2021-12-11,2025-05-07,44,141,90,Badal-Som,Healthcare,Enterprise,13,6,0
CUST0037,2338078.4,389679.73333333334,6,2022-03-30,2025-05-03,2022-11-07,2025-06-30,33,94,36,Panchal Inc,Tech,Mid-Market,1,8,0
CUST0038,1017080.82,92461.89272727272,11,2022-01-05,2025-06-16,2019-07-23,2025-01-02,73,50,215,Walia-Sura,Healthcare,Mid-Market,41,2,1
CUST0039,1046730.7,104673.06999999999,10,2022-01-06,2025-06-16,2024-04-10,2025-06-30,16,50,36,"Kalla, Soman and Ratti",Tech,Enterprise,1,8,0
CUST0040,1400005.3199999998,155556.14666666664,9,2022-04-21,2025-06-10,2023-06-22,2025-06-15,25,56,51,Lala Group,Finance,Mid-Market,9,5,0
CUST0041,4528497.08,348345.9292307692,13,2022-02-04,2025-03-30,2020-09-02,2025-06-30,59,128,36,Sarma and Sons,Retail,Small,1,8,0
CUST0042,1671048.05,185672.00555555557,9,2022-08-03,2025-06-12,2020-07-15,2024-03-05,61,54,518,Nayak Ltd,Retail,Enterprise,45,2,1
CUST0043,614251.0,122850.2,5,2022-09-24,2025-04-24,2025-01-04,2025-06-17,7,103,49,Chand-Sama,Non-Profit,Small,1,5,0
CUST0044,3035792.17,216842.29785714284,14,2022-05-03,2025-03-06,2025-04-24,2025-06-30,3,152,36,Chad Ltd,Finance,Enterprise,1,8,0
CUST0045,562275.98,112455.196,5,2022-05-06,2025-04-17,2022-09-03,2025-06-30,35,110,36,Sule Inc,Government,Enterprise,1,8,0
CUST0046,667235.85,66723.58499999999,10,2022-03-03,2025-02-11,2023-11-08,2025-06-30,21,175,36,Memon and Sons,Tech,Small,1,8,0
CUST0047,1239095.97,177013.71,7,2022-02-01,2025-05-20,2019-07-06,2025-06-30,74,77,36,Chawla LLC,Government,Small,1,8,0
CUST0048,1286968.53,98997.57923076923,13,2022-01-14,2025-04-25,2023-12-28,2025-06-30,19,102,36,"Palla, Agrawal and Vasa",Healthcare,Small,1,8,0
CUST0049,1366191.92,124199.26545454544,11,2022-08-06,2025-06-07,2021-10-12,2025-06-20,46,59,46,Ganesan PLC,Education,Small,23,9,0
CUST0050,1438270.18,130751.83454545453,11,2022-06-02,2025-06-10,2019-12-13,2025-06-30,68,56,36,Dugar-Buch,Healthcare,Mid-Market,1,8,0
CUST0051,2105520.6,191410.96363636365,11,2022-02-28,2025-07-17,2019-11-03,2025-06-30,70,19,36,Dube-Setty,Government,Mid-Market,1,8,0
CUST0052,1896821.9100000001,189682.19100000002,10,2022-07-20,2025-03-25,2019-01-26,2024-04-22,79,133,470,Pall-Dube,Healthcare,Small,48,3,1
CUST0053,3408058.6399999997,213003.66499999998,16,2022-03-30,2024-11-08,2020-02-29,2023-10-24,66,270,651,"Sama, Gaba and Rau",Non-Profit,Small,16,2,1
CUST0054,945395.2,135056.45714285714,7,2022-02-18,2025-07-19,2021-04-06,2025-06-30,52,17,36,"Prashad, Gulati and Saxena",Government,Small,1,8,0
CUST0055,1420519.48,177564.935,8,2022-09-04,2024-04-17,2022-03-23,2025-06-30,41,475,36,Mukherjee Ltd,Finance,Enterprise,1,8,0
CUST0056,2484045.7199999997,146120.33647058823,17,2022-01-11,2025-06-22,2022-02-23,2025-06-30,41,44,36,"Setty, Pillay and Shroff",Government,Small,1,8,0
CUST0057,1195265.24,239053.048,5,2022-01-27,2024-11-23,2023-06-07,2025-06-30,26,255,36,Patla LLC,Finance,Mid-Market,1,8,0
CUST0058,3054588.81,160767.83210526317,19,2022-01-30,2025-01-11,2024-08-29,2025-05-17,11,206,80,Bala Group,Tech,Small,0,1,0
CUST0059,2141872.42,214187.242,10,2022-01-28,2025-07-06,2020-10-26,2025-05-28,58,30,69,Kakar Group,Education,Small,34,10,0
CUST0060,1316210.7,119655.51818181817,11,2022-02-07,2025-04-03,2020-12-18,2025-06-30,56,124,36,"Dayal, Kalita and Vora",Retail,Small,1,8,0
CUST0061,955131.39,136447.34142857144,7,2022-05-11,2024-08-12,2024-06-03,2025-06-06,14,358,60,"Hayer, Deol and Cherian",Finance,Small,14,7,0
CUST0062,384872.22,54981.74571428571,7,2022-05-25,2024-11-08,2019-03-25,2025-06-30,77,270,36,Rau and Sons,Government,Mid-Market,1,8,0
CUST0063,928628.9600000001,116078.62000000001,8,2022-05-24,2025-07-21,2023-04-22,2025-06-30,27,15,36,Chanda-Krishnan,Retail,Small,1,8,0
CUST0064,2659202.07,177280.13799999998,15,2022-02-15,2025-04-27,2021-07-29,2024-05-02,48,100,460,Bhat PLC,Retail,Small,23,5,0
CUST0065,3059873.19,218562.3707142857,14,2022-01-13,2025-07-13,2025-03-10,2025-06-22,4,23,44,"Bajwa, Bedi and Shukla",Finance,Small,16,8,0
CUST0066,1705160.0899999999,121797.14928571427,14,2022-02-06,2025-05-28,2023-03-19,2025-06-30,29,69,36,Manda LLC,Healthcare,Mid-Market,1,8,0
CUST0067,2190722.4499999997,156480.175,14,2022-05-14,2025-04-06,2024-02-28,2024-06-08,17,121,423,Talwar-Aurora,Retail,Small,13,4,0
CUST0068,1881731.07,171066.4609090909,11,2022-01-04,2024-10-28,2025-02-05,2025-06-30,6,281,36,"Saxena, Sinha and Dar",Government,Small,1,8,0
CUST0069,1090982.0,99180.18181818182,11,2022-07-26,2025-07-24,2019-05-21,2025-06-30,75,12,36,Kar Inc,Education,Mid-Market,1,8,0
CUST0070,354291.27999999997,59048.54666666666,6,2022-11-03,2024-08-05,2024-12-13,2024-10-23,7,365,286,"Mani, Chhabra and Pai",Non-Profit,Enterprise,18,1,1
CUST0071,1336745.74,190963.67714285714,7,2023-08-16,2025-06-05,2021-05-30,2025-06-30,50,61,36,Char-Sodhi,Finance,Small,1,8,0
CUST0072,1878854.82,187885.48200000002,10,2022-07-14,2024-10-07,2020-02-18,2025-06-30,66,302,36,"Batra, Talwar and Salvi",Non-Profit,Mid-Market,1,8,0
CUST0073,1772088.27,104240.48647058824,17,2022-01-13,2025-05-05,2023-09-16,2023-09-30,22,92,675,Saha-Gara,Finance,Mid-Market,13,5,0
CUST0074,2452672.54,245267.25400000002,10,2022-06-22,2024-10-11,2019-02-09,2025-06-30,78,298,36,Barad Group,Education,Small,1,8,0
CUST0075,460204.66,115051.165,4,2022-09-08,2023-09-29,2024-03-06,2025-05-18,17,676,79,Nigam-Pal,Retail,Mid-Market,12,8,0
CUST0076,1226603.24,122660.324,10,2022-07-26,2024-12-11,2023-04-07,2025-06-30,28,237,36,Chaudhry Group,Tech,Enterprise,1,8,0
CUST0077,2488170.47,191397.72846153847,13,2022-01-07,2025-07-02,2021-05-10,2025-06-30,51,34,36,"Pal, Pandit and Wagle",Manufacturing,Enterprise,1,8,0
CUST0078,1650936.14,206367.0175,8,2022-04-15,2024-12-24,2025-01-19,2025-01-21,6,224,196,Oommen-Memon,Retail,Mid-Market,13,7,0
CUST0079,2270441.79,378406.965,6,2022-01-11,2024-12-16,2019-04-21,2023-10-15,76,232,660,"Lad, Chad and Cherian",Government,Small,43,2,1
CUST0080,1397023.78,155224.86444444445,9,2022-04-02,2024-11-11,2020-10-10,2025-06-30,58,267,36,"Palan, Golla and Sura",Government,Enterprise,1,8,0
CUST0081,1418717.57,157635.28555555557,9,2022-08-09,2025-06-15,2022-03-05,2025-06-30,41,51,36,Grewal LLC,Non-Profit,Mid-Market,1,8,0
CUST0082,1998263.77,249782.97125,8,2022-05-17,2025-04-01,2021-01-12,2025-06-30,55,126,36,Munshi LLC,Education,Small,1,8,0
