customer_id,customer_name,industry,company_size,customer_since,last_interaction,support_tickets,satisfaction_score,churn_status
CUST0001,"Bhandari, Kari and Sama",Manufacturing,Enterprise,2023-08-06,2024-09-01,3,7,0
CUST0002,"Saxena, Barman and Sandhu",Education,Small,2022-10-20,2024-08-25,28,4,1
CUST0003,Deo-Vala,Tech,Enterprise,2020-04-29,2025-06-30,1,8,0
CUST0004,"Sharma, Viswanathan and Sibal",Finance,Small,2020-07-02,2025-06-30,1,8,0
CUST0005,"Nayar, Bajwa and Deshpande",Healthcare,Small,2024-07-11,2025-06-30,1,8,0
CUST0006,Krish Group,Finance,Small,2019-11-17,2025-06-30,1,8,0
CUST0007,Bahl-Bail,Retail,Mid-Market,2024-09-03,2025-06-30,1,8,0
CUST0008,Mani-Prabhakar,Tech,Enterprise,2022-04-18,2025-06-30,1,8,0
CUST0009,Misra-Srinivasan,Retail,Enterprise,2019-05-13,2025-06-30,1,8,0
CUST0010,Kulkarni LLC,Retail,Small,2020-09-28,2025-06-30,1,8,0
CUST0011,Andra Inc,Education,Mid-Market,2024-11-18,2025-01-12,50,4,1
CUST0012,"Nagy, Minhas and Rama",Healthcare,Small,2022-11-06,2025-06-30,1,8,0
CUST0013,"Badami, Baria and Bhatti",Tech,Small,2024-01-27,2024-12-29,23,4,1
CUST0014,"Sachar, Edwin and Brar",Finance,Small,2021-09-17,2025-06-30,1,8,0
CUST0015,Lal-Kannan,Non-Profit,Mid-Market,2023-07-21,2025-06-30,1,8,0
CUST0016,"Vyas, Uppal and Shah",Healthcare,Mid-Market,2025-06-26,2025-07-15,40,5,0
CUST0017,Gara Inc,Government,Mid-Market,2021-05-10,2025-06-30,1,8,0
CUST0018,Mutti-Subramanian,Education,Small,2024-12-16,2025-06-30,1,8,0
CUST0019,Ahluwalia-Andra,Non-Profit,Mid-Market,2023-01-21,2025-06-30,1,8,0
CUST0020,Tak LLC,Government,Small,2021-01-06,2025-06-30,1,8,0
CUST0021,Doshi LLC,Non-Profit,Small,2022-01-09,2025-04-23,3,6,0
CUST0022,"Butala, Dugal and Kala",Non-Profit,Enterprise,2019-08-21,2025-06-30,1,8,0
